;DESCRIPTION: Contra Costa Water District Ops Timeseries,,,,,,,,,
";SOURCE: CalSimII LVE EIS Existing baseline (as of Feb 2017), 2004-2015 is a repeat of a similar WY sequence, 1956-64 followed by 1987-89.",,,,,,,,,
;COLUMN HEADINGS,,,,,,,,,
";UNITS: LV Storage in TAF. LV fill, LV release, Old River intake pumping, Rock Slough intake pumping, Victoria Canal pumping, and Mokelumne Intertie flow all in CFS.",,,,,,,,,
;DOCUMENTATION: See the Contra Costa Water District sub-section of the Ops section of the Other Assumptions chapter,,,,,,,,,
;year,month,LV storage,LV fill,LV release,Old River intake pumping,Rock Slough intake pumping,Victoria Canal pumping,Mokelumne Intertie flow,Mallard Slough
1955,12,146.8,0,73.2,0,0,54.1,0,0
1956,1,146.8,0,0,0,123.3,0,0,0
1956,2,146.8,0,0,0,116.9,0,0,0
1956,3,141.9,0,79.8,0,0,0,0,0
1956,4,151.8,174,0,0,106.2,174,0,0
1956,5,150.8,0,0,0,144.3,0,0,0
1956,6,149.6,0,0,0,191.6,0,0,0
1956,7,158.8,174,0,174,225.8,0,0,0
1956,8,160,42.1,0,0,234.5,42.1,0,0
1956,9,160,18.5,0,0,91.2,131,0,0
1956,10,160,8,0,8,173.2,0,0,0
1956,11,160,2,0,2,116.3,0,0,0
1956,12,160,0,6.7,0,76.5,0,0,0
1957,1,159.9,0,4.4,0,0,74.1,0,0
1957,2,160,0,0,0,90.3,0,0,0
1957,3,154.7,0,80.6,0,0,0,0,0
1957,4,160,98.8,0,98.8,117.1,0,0,0
1957,5,159,0,0,0,143.1,0,0,0
1957,6,157.7,0,0,0,207.2,0,0,0
1957,7,160,62.7,0,0,228.3,62.7,0,0
1957,8,160,22.7,0,0,236.3,22.7,0,0
1957,9,160,18.6,0,0,199.8,27.6,0,0
1957,10,160,10.6,0,0,178.8,10.6,0,0
1957,11,159.9,0,0,0,26.9,99.6,0,0
1957,12,160,0,1.8,0,113.7,0,0,0
1958,1,160,0,0.7,0,90.9,0,0,0
1958,2,160,0,0,0,85.5,0,0,0
1958,3,155.1,0,79.8,0,0,0,0,0
1958,4,160,91.1,0,91.1,106.2,0,0,0
1958,5,160,16.4,0,0,144.3,16.4,0,0
1958,6,158.8,0,0,0,191.6,0,0,0
1958,7,160,44.9,0,44.9,225.8,0,0,0
1958,8,160,22.8,0,0,234.5,22.8,0,0
1958,9,160,18.5,0,0,203.7,18.5,0,0
1958,10,160,8,0,8,173.2,0,0,0
1958,11,160,2,0,2,116.3,0,0,0
1958,12,160,0,6.7,0,76.5,0,0,0
1959,1,158.8,0,22.2,0,0,56.3,0,0
1959,2,158.9,0,0,0,90.3,0,0,0
1959,3,153,0,88.9,0,0,0,0,0
1959,4,152.4,0,0,0,129.2,0,0,0
1959,5,151.4,0,0,0,157.9,0,0,0
1959,6,150.1,0,0,0,207.8,0,0,0
1959,7,159.3,174,0,0,231.8,174,0,0
1959,8,160,34,0,0,161.8,54.2,52,0
1959,9,158.9,0,0,0,7.6,198.4,0,0
1959,10,156.6,0,26.2,0,0,151.5,0,0
1959,11,155.4,0,17.7,0,0,114.4,0,0
1959,12,152.6,0,47.3,0,0,69.7,0,0
1960,1,148,0,74,0,0,26.4,0,0
1960,2,147.9,0,2.3,0,89.6,0,0,0
1960,3,141.2,0,102.7,0,0,0,0,0
1960,4,143.7,53.8,0,0,150.6,0,53.8,0
1960,5,153.4,174,0,174,182.9,0,0,0
1960,6,152.1,0,0,0,214.2,0,0,0
1960,7,160,152.9,0,0,192.6,199.8,0,0
1960,8,157.5,0,17.5,0,0,215.2,0,0
1960,9,151.8,0,77.8,0,0,133,0,0
1960,10,145.6,0,89.3,0,0,90.3,0,0
1960,11,143.4,0,33.3,0,0,112,0,0
1960,12,136.9,0,105.6,0,0,21.7,0,0
1961,1,131.2,0,93,0,30.3,0,0,0
1961,2,131.2,0,0,0,121.1,0,0,0
1961,3,124.5,0,102.7,0,0,0,0,0
1961,4,134.2,174,0,120.2,150.6,0,53.8,0
1961,5,133.3,0,0,0,182.9,0,0,0
1961,6,132,0,0,0,214.2,0,0,0
1961,7,141.4,174,0,0,199.2,214.4,0,0
1961,8,139.8,0,3.5,0,0,229.2,0,0
1961,9,138.4,0,6.3,0,0,204.5,0,0
1961,10,133.6,0,68.8,0,0,110.8,0,0
1961,11,127.3,0,101,0,0,44.3,0,0
1961,12,121.8,0,89.7,0,0,37.6,0,0
1962,1,115.3,0,106.7,0,0,16.6,0,0
1962,2,109.9,0,97,0,24.1,0,0,0
1962,3,104.1,0,88.9,0,0,0,0,0
1962,4,113.9,174,0,120.2,129.2,0,53.8,0
1962,5,113,0,0,0,157.9,0,0,0
1962,6,111.9,0,0,0,207.8,0,0,0
1962,7,121.3,174,0,0,231.8,174,0,0
