# Created by WEAP: 4/12/2021 4:43:36 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_N_CEN_Interior Coulee (1,197,238 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,197,238 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m
2032, 8, 23.53, 0.8153
2032, 9, 19.64, 1.894
2032, 10, 13.58, 13.92
2032, 11, 5.32, 66.95
2032, 12, -6.577, 16.76
2033, 1, -7.546, 13.14
2033, 2, 2.168, 15.42
2033, 3, 11.98, 16.88
2033, 4, 11.83, 19.66
2033, 5, 15.93, 8.634
2033, 6, 19.79, 16.85
2033, 7, 24.16, 0.7959
2033, 8, 27.39, 2.876
2033, 9, 20.55, 18.91
2033, 10, 14.43, 35.74
2033, 11, 3.649, 25.94
2033, 12, 3.872, 42.08
2034, 1, 9.107, 31.54
2034, 2, 7.308, 20.1
2034, 3, 7.908, 27.87
2034, 4, 10.62, 19.15
2034, 5, 15.83, 5.242
2034, 6, 21.62, 14.37
2034, 7, 24.83, 3.267
2034, 8, 22.67, 0.434
2034, 9, 21.32, 0.2089
2034, 10, 11.72, 43.83
2034, 11, 3.988, 28.66
2034, 12, 1.623, 7.897
2035, 1, 5.411, 30.33
2035, 2, 8.771, 16.75
2035, 3, 11.23, 32.39
2035, 4, 12.62, 12.71
2035, 5, 15.81, 4.554
2035, 6, 24.31, 16.66
2035, 7, 25.92, 0.6665
2035, 8, 26.64, 1.361
2035, 9, 21.77, 0.001016
2035, 10, 14.7, 31.18
2035, 11, 5.928, 56.8
2035, 12, 4.577, 54.74
2036, 1, 0.02208, 6.696
2036, 2, 2.242, 42.69
2036, 3, 6.233, 26.83
2036, 4, 14.41, 4.586
2036, 5, 17.18, 7.81
2036, 6, 20.96, 17.16
2036, 7, 27.4, 0.2006
2036, 8, 26.71, 1.005
2036, 9, 20.35, 1.462
2036, 10, 12.9, 27.95
2036, 11, 4.378, 82.05
2036, 12, 0.5438, 52.05
2037, 1, -0.9167, 88.24
2037, 2, 7.231, 41.46
2037, 3, 11.26, 28.7
2037, 4, 11.4, 22.62
2037, 5, 14.54, 10.18
2037, 6, 21.19, 45.87
2037, 7, 24.76, 6.123
2037, 8, 22.47, 13.34
2037, 9, 19.54, 7.849
2037, 10, 14.56, 29.71
2037, 11, 4.208, 43.27
2037, 12, 1.227, 37.53
2038, 1, 3.814, 53.36
2038, 2, 8.416, 46.56
2038, 3, 6.897, 23.71
2038, 4, 13.18, 6.489
2038, 5, 16.76, 11.42
2038, 6, 21.54, 7.916
2038, 7, 25.71, 10.26
2038, 8, 23.79, 5.552
2038, 9, 21.08, 29.23
2038, 10, 13.74, 14.19
2038, 11, 5.556, 9.092
2038, 12, -0.2931, 27.33
2039, 1, 3.398, 33.07
2039, 2, 5.361, 44.66
2039, 3, 10.54, 14.34
2039, 4, 11.32, 42.2
2039, 5, 14.21, 50.86
2039, 6, 20.51, 8.099
2039, 7, 24.83, 9.55
2039, 8, 26.98, 6.575
2039, 9, 21.62, 0.5934
2039, 10, 14.39, 23.13
2039, 11, 7.717, 60.16
2039, 12, -8.37, 21.69
2040, 1, -0.4647, 37.22
2040, 2, 0.4081, 27.88
2040, 3, 2.587, 22.12
2040, 4, 17.1, 0.2573
2040, 5, 17.02, 10.07
2040, 6, 27.06, 6.31
2040, 7, 25.78, 4.852
2040, 8, 24.43, 13.22
2040, 9, 19.92, 8.006
2040, 10, 12.17, 21.33
2040, 11, 3.048, 14.6
2040, 12, 2.803, 26.96
2041, 1, 2.8, 74.56
2041, 2, 8.608, 11.3
2041, 3, 11.82, 11.57
2041, 4, 11.82, 42.25
2041, 5, 18.53, 10.18
2041, 6, 22.42, 20.31
2041, 7, 24.74, 5.842
2041, 8, 25.99, 5.104
2041, 9, 20.71, 4.54
2041, 10, 13.72, 1.446
2041, 11, 7.808, 40.54
2041, 12, 3.324, 86.62
2042, 1, -1.204, 18.49
2042, 2, 0.3593, 19.59
2042, 3, 11.08, 23.84
2042, 4, 12.84, 18.56
2042, 5, 15.69, 34.6
2042, 6, 21.55, 4.026
2042, 7, 27.29, 1.279
2042, 8, 26.61, 0.6831
2042, 9, 23.9, 1.352
2042, 10, 14.01, 6.994
2042, 11, 3.518, 41.2
2042, 12, 2.181, 38.16
2043, 1, -0.6048, 30.9
2043, 2, 4.433, 27.21
2043, 3, 10.75, 54.51
2043, 4, 12.17, 21.7
2043, 5, 17.69, 8.097
2043, 6, 22.24, 3.926
2043, 7, 25.3, 16.44
2043, 8, 26.2, 11.01
2043, 9, 18.29, 0.2139
2043, 10, 14.63, 18.6
2043, 11, 4.811, 37.61
2043, 12, 0.9335, 47.75
2044, 1, 0.4084, 22.8
2044, 2, 6.811, 26.93
2044, 3, 8.632, 27.98
2044, 4, 13.7, 12.33
2044, 5, 17.23, 4.991
2044, 6, 23.09, 7.371
2044, 7, 27.17, 4.93E-8
2044, 8, 26.71, 1.352
2044, 9, 19.32, 35.92
2044, 10, 12.48, 5.226
2044, 11, 2.507, 49.63
2044, 12, 2.765, 45.39
2045, 1, 1.494, 29.71
2045, 2, 9.158, 51.73
2045, 3, 11.43, 18.81
2045, 4, 12.27, 15.09
2045, 5, 21.73, 18.21
2045, 6, 23.94, 2.354
2045, 7, 25.57, 4.475
2045, 8, 24.81, 0.3867
2045, 9, 19.93, 14.86
2045, 10, 12.68, 30.06
2045, 11, 5.939, 47.64
2045, 12, 4.629, 32.78
2046, 1, 3.146, 19.06
2046, 2, 5.019, 29.91
2046, 3, 10.5, 19.34
2046, 4, 10.29, 30.65
2046, 5, 15.73, 28.45
2046, 6, 23.25, 23.61
2046, 7, 26.95, 4.972
2046, 8, 25.85, 0.9729
2046, 9, 23.07, 5.088
2046, 10, 13.51, 15.17
2046, 11, 9.464, 62.57
2046, 12, 1.945, 42.48
2047, 1, -5.099, 38.39
2047, 2, 2.711, 36.31
2047, 3, 10.69, 13.33
2047, 4, 11.65, 10.15
2047, 5, 15.89, 7.31
2047, 6, 24.61, 33.45
2047, 7, 25.98, 0.2429
2047, 8, 25.45, 0.02179
2047, 9, 22.56, 3.716
2047, 10, 14.48, 32.56
2047, 11, 1.296, 18.22
2047, 12, 4.774, 47.36
2048, 1, 2.339, 36.81
2048, 2, 8.633, 8.926
2048, 3, 12.33, 15.83
2048, 4, 11.61, 30.48
2048, 5, 17.39, 27.43
2048, 6, 22.53, 4.676
2048, 7, 27.11, 0.005983
2048, 8, 23.48, 9.168
2048, 9, 21.87, 1.18
2048, 10, 14.33, 14.91
2048, 11, 7.484, 29.65
2048, 12, 3.716, 44.09
2049, 1, -1.32, 54.39
2049, 2, 1.363, 10.87
2049, 3, 8.952, 30.28
2049, 4, 12.16, 25.08
2049, 5, 16.88, 33.44
2049, 6, 20.33, 6.404
2049, 7, 26.5, 0.01321
2049, 8, 24.21, 4.623
2049, 9, 23.12, 9.569
2049, 10, 15.82, 6.058
2049, 11, 8.636, 87.62
2049, 12, 3.448, 54.04
2050, 1, 6.704, 24.31
2050, 2, 6.525, 15.32
2050, 3, 11.86, 38.55
2050, 4, 12.68, 32.74
2050, 5, 19.82, 23.59
2050, 6, 22.62, 15.35
2050, 7, 26.84, 4.3
2050, 8, 26.27, 3.719
2050, 9, 23.96, 2.574
2050, 10, 14.71, 23.92
2050, 11, 5.231, 16.25
2050, 12, -2.536, 30.9
2051, 1, -7.528, 49.38
2051, 2, 7.642, 10.98
2051, 3, 8.604, 24.93
2051, 4, 14.27, 15.64
2051, 5, 19.4, 5.001
2051, 6, 23.49, 10.56
2051, 7, 28.72, 0.4001
2051, 8, 26.98, 0.6577
2051, 9, 22.16, 3.466
2051, 10, 13.4, 39.57
2051, 11, 5.822, 25.42
2051, 12, 5.551, 58.56
2052, 1, -1.97, 5.112
2052, 2, -3.978, 25.86
2052, 3, 6.692, 26.7
2052, 4, 14.24, 8.694
2052, 5, 19.17, 31.79
2052, 6, 23.67, 17.01
2052, 7, 28.36, 0.7572
2052, 8, 26.28, 1.979
2052, 9, 21.75, 0.3546
2052, 10, 13.58, 41.73
2052, 11, 7.643, 37.81
2052, 12, 4.448, 73.7
2053, 1, -5.212, 47.73
2053, 2, 6.001, 7.346
2053, 3, 10.61, 12.18
2053, 4, 13.97, 27.31
2053, 5, 17.89, 23.27
2053, 6, 22.2, 7.877
2053, 7, 28.97, 0.549
2053, 8, 27.14, 0.6047
2053, 9, 21.85, 3.946
2053, 10, 16.44, 34.91
2053, 11, 6.731, 53.83
2053, 12, 3.5, 19.21
2054, 1, 7.672, 26.76
2054, 2, 9.406, 39.41
2054, 3, 10.1, 32.83
2054, 4, 12.36, 13.96
2054, 5, 17.73, 36.53
2054, 6, 24.7, 1.199
2054, 7, 26.72, 1.328
2054, 8, 25.42, 10.3
2054, 9, 25.47, 2.636
2054, 10, 16.43, 12.17
2054, 11, 7.124, 52.26
2054, 12, 0.8651, 24.62
2055, 1, 3.287, 52.11
2055, 2, 4.759, 19.19
2055, 3, 9.785, 9.751
2055, 4, 13.97, 29.62
2055, 5, 18.12, 17.86
2055, 6, 20.77, 15.1
2055, 7, 29.39, 0.1824
2055, 8, 25.31, 3.91
2055, 9, 23.84, 0.01341
2055, 10, 14.95, 25.2
2055, 11, 2.89, 41.45
2055, 12, 1.434, 22.35
2056, 1, 1.084, 26.68
2056, 2, 8.508, 31.72
2056, 3, 9.105, 27.06
2056, 4, 13.73, 9.58
2056, 5, 17.15, 35.66
2056, 6, 22.25, 36.45
2056, 7, 29.82, 9.988
2056, 8, 29.07, 0.496
2056, 9, 21.85, 26.01
2056, 10, 12.79, 23.48
2056, 11, 7.893, 76.21
2056, 12, 0.9607, 18.4
2057, 1, 2.927, 5.828
2057, 2, 7.965, 17.44
2057, 3, 11.96, 13.12
2057, 4, 12.27, 37.12
2057, 5, 17.97, 13.29
2057, 6, 26.23, 11.03
2057, 7, 24.97, 6.092
2057, 8, 29.51, 0.291
2057, 9, 21.96, 15.13
2057, 10, 15.7, 2.632
2057, 11, 3.804, 16.87
2057, 12, -1.022, 23.35
2058, 1, 2.385, 24.62
2058, 2, 8.692, 18.58
2058, 3, 10.75, 21.4
2058, 4, 13.41, 19.08
2058, 5, 14.85, 23.88
2058, 6, 24.94, 4.804
2058, 7, 30.14, 2.113
2058, 8, 26.86, 1.607
2058, 9, 24.31, 18.22
2058, 10, 14.94, 30.3
2058, 11, 9.04, 72.69
2058, 12, 2.535, 76.7
2059, 1, -0.4585, 25.87
2059, 2, 1.244, 12.24
2059, 3, 5.899, 17.4
2059, 4, 14.78, 6.703
