# Created by WEAP: 4/12/2021 4:42:30 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_Klamath (1,759,114 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (769,785 ha),  1000 - 2000 m (944,405 ha),  2000 - 3000 m (44,021 ha),  3000 - 4000 m (887 ha),  4000 - 5000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m
2021, 11, 10.54, 8.154, 5.229, -1.281, -1.665, 76.75, 73.94, 65.92, 55.61, 57.01
2021, 12, 3.997, 1.071, -2.375, -9.489, -9.872, 234.1, 232.4, 207.7, 203.1, 207.6
2022, 1, 5.106, 2.323, -0.8798, -7.982, -8.36, 183.7, 201.5, 207.7, 304.8, 310
2022, 2, 5.756, 2.989, -0.3864, -8.511, -8.907, 202.5, 206.1, 210.6, 253.4, 258
2022, 3, 8.373, 5.739, 2.367, -5.925, -6.315, 106.8, 105.7, 112.2, 164.7, 168.4
2022, 4, 9.84, 7.415, 4.243, -3.811, -4.201, 47.17, 40.87, 32.61, 74.89, 76.75
2022, 5, 14.85, 12.63, 9.382, 1.154, 0.7719, 22.44, 25.43, 35.35, 45.35, 46.1
2022, 6, 19.26, 17.31, 14.29, 6.124, 5.735, 40.67, 43.29, 55.71, 108.7, 110.4
2022, 7, 22.11, 20.59, 17.77, 9.616, 9.228, 0.04644, 0.009743, 0.01744, 0.1171, 0.1179
2022, 8, 22.3, 20.59, 17.69, 9.631, 9.242, 9.645, 14.11, 19.47, 15.85, 16.22
2022, 9, 18.54, 16.5, 13.38, 5.12, 4.729, 6.815, 9.926, 14.7, 18.14, 18.41
2022, 10, 12.95, 10.49, 7.062, -0.9198, -1.3, 92.82, 86.42, 79.45, 66.89, 68.44
2022, 11, 8.678, 5.992, 2.759, -4.685, -5.067, 256.9, 282.8, 304.2, 422.4, 430.9
2022, 12, 5.803, 2.95, -0.4521, -7.99, -8.376, 279.1, 300.8, 299.6, 393.8, 401.7
