# Created by WEAP: 5/10/2021 8:07:17 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Upr Nisqually (76,281 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (47,338 ha),  1000 - 2000 m (25,455 ha),  2000 - 3000 m (2,311 ha),  3000 - 4000 m (912 ha),  4000 - 5000 m (265 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m
2014, 10, 14, 12.62, 3.213, 1.589, 1.008, 53.24, 65.74, 91.05, 89.39, 88.34
2014, 11, 5.412, 3.35, -6.2, -7.832, -8.408, 175.1, 194.1, 252.8, 248.4, 247.9
2014, 12, 0.9301, -1.24, -10.59, -12.23, -12.81, 272.4, 324.6, 461.5, 458.3, 455.4
2015, 1, 3.68, 1.061, -9.083, -10.74, -11.29, 380.1, 432.7, 589.5, 583.7, 581
2015, 2, 6.202, 3.82, -6.209, -7.853, -8.404, 134.7, 159.5, 210.1, 208.9, 206.8
2015, 3, 7.853, 5.451, -4.675, -6.334, -6.893, 230.5, 272.6, 397.6, 398, 392.4
2015, 4, 8.768, 6.408, -3.796, -5.457, -6.008, 119, 124.6, 158.9, 157.3, 155.2
2015, 5, 10.6, 8.238, -2.206, -3.889, -4.428, 106.5, 126.6, 170.5, 168, 164.8
2015, 6, 14.18, 12, 1.179, -0.5098, -1.039, 69.35, 74.79, 74.62, 71.83, 71.62
2015, 7, 20.19, 18.68, 9.05, 7.402, 6.845, 6.971, 9.613, 18.04, 17.9, 17.49
2015, 8, 19.79, 18.21, 8.389, 6.732, 6.177, 27.7, 32.31, 33.56, 32.64, 31.88
2015, 9, 16.05, 14.23, 4.447, 2.811, 2.247, 74.8, 95.62, 122.1, 119.3, 117
2015, 10, 12.32, 10.78, 1.231, -0.4099, -0.9785, 190.8, 248.2, 315.7, 309, 305.6
2015, 11, 5.841, 3.956, -5.655, -7.301, -7.853, 170.3, 221.2, 332.2, 329.6, 328.6
2015, 12, 3.691, 1.433, -8.224, -9.886, -10.44, 346.6, 442.3, 643, 638.1, 634
2016, 1, 4.495, 1.649, -8.93, -10.61, -11.15, 307.3, 394.6, 568.6, 565.7, 564.7
2016, 2, 3.758, 1.533, -8.169, -9.813, -10.36, 140.3, 180.2, 274.4, 274.8, 271.7
2016, 3, 7.464, 5.26, -4.738, -6.393, -6.94, 144.6, 166.3, 215.5, 213.5, 211.6
