# Created by WEAP: 3/19/2020 3:28:53 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Upper Missouri (1,541,200 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (3,455 ha),  1000 - 2000 m (1,369,426 ha),  2000 - 3000 m (168,320 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 0 to 1000 m, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 0 to 1000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 0 to 1000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m
1958, 5, 17.86, 15.69, 12.92, 30.96, 32.95, 40.55, 3.371, 3.137, 3.094
1958, 6, 16, 14.26, 11.73, 133.1, 140.1, 140, 3.146, 2.985, 2.952
1958, 7, 18.79, 16.87, 14.5, 55.46, 57.17, 57.98, 3.072, 2.899, 2.88
1958, 8, 22.7, 20.34, 17.49, 17.1, 19.07, 16.23, 3.669, 3.38, 3.356
1958, 9, 15.63, 13.48, 11.15, 15.46, 21.17, 26.53, 4.454, 4.12, 4.042
1958, 10, 12.09, 10.22, 7.549, 16.49, 13, 14.72, 4.491, 4.184, 4.078
1958, 11, 1.859, 0.4594, -1.881, 44.95, 38.15, 51.61, 5.276, 4.855, 4.716
1958, 12, -0.5608, -1.409, -3.6, 24.36, 22.56, 25.09, 5.127, 4.533, 4.365
1959, 1, -5.213, -5.147, -6.685, 26.86, 30.51, 38.69, 3.931, 3.752, 3.688
1959, 2, -8.191, -8.259, -9.492, 16.12, 29.8, 38.76, 4.211, 3.843, 3.756
1959, 3, 4.278, 2.511, -0.2545, 6.245, 11.18, 14.12, 5.332, 4.794, 4.652
1959, 4, 7.255, 5.495, 3.107, 23.25, 26.88, 36.69, 4.043, 3.728, 3.629
1959, 5, 10.23, 8.09, 5.707, 65.58, 57.93, 66.22, 3.408, 3.276, 3.254
