# Created by WEAP: 8/4/2020 8:37:58 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: Lwr Coolee Interior (1,144,723 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,144,723 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Tavg[C]:Elevation 0 to 1000 m, wind[m/s]:Elevation 0 to 1000 m
2001, 2, 12.28, -0.2029, 2.443
2001, 3, 31.14, 6.567, 2.679
2001, 4, 23.02, 9.645, 2.388
2001, 5, 7.894, 15.96, 2.155
2001, 6, 17.93, 17.11, 2.094
2001, 7, 4.538, 22.68, 2.221
2001, 8, 6.05, 23.98, 1.776
2001, 9, 2.183, 19.61, 1.776
2001, 10, 20.96, 10.27, 2.899
2001, 11, 59.06, 5.824, 3.203
2001, 12, 36.22, -0.1812, 3.881
2002, 1, 17.68, 1.103, 3.536
2002, 2, 13.11, 2.261, 3.051
2002, 3, 7.676, 4.106, 3.148
2002, 4, 15.69, 10.04, 2.651
2002, 5, 16.39, 13.56, 2.311
2002, 6, 16.93, 19.78, 2.372
2002, 7, 3.477, 24.48, 2.648
2002, 8, 1.99, 21.96, 2.21
2002, 9, 1.35, 17.7, 1.916
2002, 10, 2.994, 9.249, 2.001
2002, 11, 22.62, 4.423, 2.707
2002, 12, 60.19, 1.937, 3.352
2003, 1, 69.16, 1.975, 3.325
2003, 2, 16.15, 3.377, 2.622
2003, 3, 21.71, 7.428, 3.265
2003, 4, 30.71, 10.26, 1.888
2003, 5, 7.738, 14.75, 1.942
2003, 6, 1.23, 20.83, 2.436
2003, 7, 0.001015, 24.68, 2.118
2003, 8, 6.032, 23.39, 2.109
2003, 9, 8.73, 19.39, 2.178
2003, 10, 7.254, 13.42, 2.733
2003, 11, 18.44, 1.215, 3.458
2003, 12, 40.48, -0.6572, 3.444
2004, 1, 26.29, -2.467, 3.497
2004, 2, 33.04, 1.451, 2.919
2004, 3, 10.97, 8.881, 2.885
2004, 4, 12.09, 12.37, 2.128
