# Created by WEAP: 1/4/2021 11:54:17 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_LADWP_CoastalLA (36,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (36,256 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m
1996, 11, 15.94, 9.198
1996, 12, 15.59, 76.28
1997, 1, 13.66, 207.4
1997, 2, 14.05, 598.8
1997, 3, 15.13, 232.3
1997, 4, 17.91, 3.954
1997, 5, 18.6, 7.562
1997, 6, 19.58, 0.4978
1997, 7, 22.45, 0.2045
1997, 8, 22.79, 0
1997, 9, 24.57, 0.3186
1997, 10, 18.82, 4.448
1997, 11, 17.34, 81.08
1997, 12, 13.91, 65.95
1998, 1, 14.93, 11.79
1998, 2, 13.71, 68.38
1998, 3, 17.23, 30.23
1998, 4, 17.33, 4.61
1998, 5, 17.69, 0.4925
1998, 6, 20.29, 0
1998, 7, 22.13, 0.8529
1998, 8, 23.53, 0.06296
1998, 9, 21.33, 0
1998, 10, 19.74, 36.49
1998, 11, 18.71, 21.28
1998, 12, 16.89, 60.19
1999, 1, 16.41, 67.13
1999, 2, 14.73, 118.3
1999, 3, 16.09, 11.3
1999, 4, 18.68, 13.26
1999, 5, 20.56, 0.2229
1999, 6, 20.77, 0.05937
1999, 7, 22.32, 0.002881
1999, 8, 22.32, 2.52
1999, 9, 21.51, 0.2852
1999, 10, 21.6, 17.65
1999, 11, 18.69, 3.008
1999, 12, 17.15, 20.08
2000, 1, 17.4, 59.71
2000, 2, 15.55, 39.67
2000, 3, 16.03, 11.9
2000, 4, 18.91, 3.56
2000, 5, 19.21, 2.859
2000, 6, 21.52, 0.5299
2000, 7, 22.34, 0.01231
2000, 8, 23.9, 0.04099
2000, 9, 21.27, 0
2000, 10, 19.83, 11.62
2000, 11, 15.93, 44.63
2000, 12, 14.67, 13.59
2001, 1, 15.17, 110.3
2001, 2, 15.23, 43.27
2001, 3, 17.04, 42.76
2001, 4, 17.89, 21.22
2001, 5, 19.31, 0.08748
2001, 6, 20.9, 0.1005
2001, 7, 22.52, 0.1029
2001, 8, 22.64, 0.2279
2001, 9, 22.06, 0
2001, 10, 23.83, 0.7697
2001, 11, 17.97, 11.2
2001, 12, 14.73, 25.56
2002, 1, 14.12, 22.18
2002, 2, 18, 36.72
2002, 3, 16.86, 1.054
2002, 4, 18.35, 0.4893
2002, 5, 19.09, 0.2118
2002, 6, 20.67, 0.0006004
2002, 7, 22.45, 0.002168
2002, 8, 23, 1.287
2002, 9, 21.57, 0.236
2002, 10, 22.96, 2.656
2002, 11, 17.41, 189.1
2002, 12, 14.91, 81.02
2003, 1, 14.42, 5.609
2003, 2, 16.35, 70.94
2003, 3, 15.81, 67.2
2003, 4, 16.51, 55.86
2003, 5, 18.48, 5.98
2003, 6, 19.7, 0.01002
2003, 7, 22.2, 0.1041
2003, 8, 23.79, 0.1605
2003, 9, 23.21, 2.526
2003, 10, 17.78, 61.94
2003, 11, 17.25, 10.89
2003, 12, 15.4, 187.6
2004, 1, 15.5, 138
2004, 2, 16.55, 11.41
2004, 3, 16.07, 121.9
2004, 4, 16.94, 0.5362
2004, 5, 19.44, 0.3924
2004, 6, 19.84, 0.06686
2004, 7, 23.38, 0
2004, 8, 23.58, 1.902
2004, 9, 20.72, 0.2931
2004, 10, 19.96, 27.68
2004, 11, 17.94, 8.892
2004, 12, 15.35, 138.6
2005, 1, 15.3, 200.6
2005, 2, 14.92, 384.4
2005, 3, 16.35, 69.54
2005, 4, 17.43, 9.89
